epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,350.552,0.75479,0.82712,1.23308,0.855,0.7561,0.83235,0.66233,0.83923,0.8397,1.29345,0.0670287,0.000333044,0.000333044
2,673.296,0.76342,0.84314,1.24203,0.84639,0.77903,0.84687,0.68524,0.80017,0.79316,1.25965,0.034012,0.000649734,0.000649734
3,994.281,0.76556,0.86083,1.24544,0.87544,0.76797,0.84958,0.68199,0.80223,0.84189,1.2618,0.000978735,0.000949775,0.000949775
4,1315.75,0.77206,0.85008,1.2483,0.88643,0.75276,0.84572,0.67742,0.81455,0.75549,1.26962,0.000925075,0.000925075,0.000925075
5,1636.19,0.75627,0.83539,1.23967,0.84361,0.79655,0.85911,0.69223,0.78947,0.74715,1.24689,0.0009001,0.0009001,0.0009001
6,1957.83,0.75859,0.82679,1.24177,0.87645,0.79754,0.86263,0.69459,0.76021,0.69097,1.22363,0.000875125,0.000875125,0.000875125
7,2289.81,0.74958,0.81647,1.23373,0.87389,0.78669,0.858,0.69011,0.77893,0.70267,1.22101,0.00085015,0.00085015,0.00085015
8,2611.71,0.74346,0.79452,1.22478,0.86155,0.80514,0.86347,0.70323,0.77158,0.6839,1.21491,0.000825175,0.000825175,0.000825175
9,2934.79,0.73046,0.79078,1.21959,0.8795,0.79155,0.86551,0.69647,0.77671,0.7174,1.22856,0.0008002,0.0008002,0.0008002
10,3256.96,0.7107,0.74119,1.20985,0.87959,0.80582,0.86727,0.70824,0.74697,0.66991,1.20362,0.000775225,0.000775225,0.000775225
11,3579,0.71632,0.75734,1.20602,0.88531,0.81605,0.87503,0.70768,0.74502,0.64411,1.2074,0.00075025,0.00075025,0.00075025
12,3899.55,0.70554,0.74163,1.20458,0.88787,0.80425,0.87181,0.70979,0.74079,0.65528,1.2068,0.000725275,0.000725275,0.000725275
13,4231.06,0.71111,0.73759,1.20413,0.89759,0.81522,0.87801,0.71668,0.7278,0.61255,1.20089,0.0007003,0.0007003,0.0007003
14,4554.57,0.69579,0.71953,1.19543,0.85546,0.81621,0.87328,0.71358,0.72983,0.66579,1.19952,0.000675325,0.000675325,0.000675325
15,4878.39,0.69054,0.71374,1.19011,0.90766,0.81728,0.88612,0.72666,0.72167,0.59705,1.19912,0.00065035,0.00065035,0.00065035
16,5208.51,0.68327,0.69697,1.18969,0.90772,0.80275,0.87696,0.71496,0.72542,0.61078,1.19243,0.000625375,0.000625375,0.000625375
17,5532.72,0.66532,0.67097,1.17287,0.90282,0.80169,0.87644,0.71733,0.72557,0.61301,1.19698,0.0006004,0.0006004,0.0006004
18,5856.31,0.6631,0.66798,1.17377,0.87928,0.83533,0.88492,0.72241,0.71993,0.60368,1.1854,0.000575425,0.000575425,0.000575425
19,6178.57,0.65662,0.65233,1.16763,0.91021,0.82788,0.88668,0.73051,0.69633,0.58548,1.19133,0.00055045,0.00055045,0.00055045
20,6500.76,0.65394,0.6502,1.16578,0.90216,0.83556,0.89003,0.73484,0.69823,0.5545,1.17441,0.000525475,0.000525475,0.000525475
21,6822.38,0.64597,0.64115,1.16384,0.88246,0.82967,0.87913,0.72746,0.7041,0.6035,1.16706,0.0005005,0.0005005,0.0005005
22,7144.2,0.63895,0.62372,1.15852,0.90518,0.83238,0.88835,0.72991,0.69129,0.58064,1.16967,0.000475525,0.000475525,0.000475525
23,7469.66,0.63634,0.6215,1.16157,0.89711,0.83485,0.88419,0.72922,0.70845,0.58485,1.17158,0.00045055,0.00045055,0.00045055
24,7794.32,0.62555,0.61065,1.14785,0.90057,0.83398,0.88924,0.73636,0.6881,0.573,1.16762,0.000425575,0.000425575,0.000425575
25,8132.21,0.61944,0.59537,1.14465,0.90207,0.83662,0.88335,0.73134,0.68806,0.56165,1.15756,0.0004006,0.0004006,0.0004006
26,8473.06,0.61062,0.58449,1.13283,0.90722,0.8365,0.8869,0.73888,0.67444,0.57153,1.15997,0.000375625,0.000375625,0.000375625
27,8795.21,0.61949,0.58966,1.14162,0.90476,0.83642,0.88673,0.74166,0.66338,0.56944,1.14799,0.00035065,0.00035065,0.00035065
28,9117.95,0.6036,0.57616,1.13126,0.90221,0.83884,0.88844,0.73939,0.67081,0.55726,1.15984,0.000325675,0.000325675,0.000325675
29,9440.01,0.59669,0.56128,1.12636,0.90956,0.84135,0.89153,0.74754,0.66485,0.55237,1.14675,0.0003007,0.0003007,0.0003007
30,9764.59,0.58937,0.55822,1.12626,0.89593,0.83593,0.8856,0.74307,0.67422,0.55809,1.15506,0.000275725,0.000275725,0.000275725
31,10211.6,0.41324,0.31454,0.99936,0.90489,0.82717,0.88449,0.7462,0.65711,0.55834,1.14616,0.00025075,0.00025075,0.00025075
32,10531.3,0.4006,0.29549,0.99103,0.90177,0.83115,0.88714,0.74614,0.66234,0.54957,1.15815,0.000225775,0.000225775,0.000225775
33,10851.3,0.39258,0.28547,0.98181,0.89707,0.83882,0.88946,0.74941,0.65431,0.55229,1.14299,0.0002008,0.0002008,0.0002008
34,11172.7,0.37748,0.26714,0.96971,0.90543,0.82856,0.88579,0.74839,0.64748,0.54897,1.14485,0.000175825,0.000175825,0.000175825
35,11491.8,0.37555,0.26268,0.97306,0.90449,0.82618,0.8823,0.74395,0.6519,0.55167,1.14623,0.00015085,0.00015085,0.00015085
36,11811.8,0.36737,0.25659,0.96627,0.91022,0.83478,0.89083,0.75402,0.6453,0.53895,1.13825,0.000125875,0.000125875,0.000125875
37,12132.4,0.36575,0.24934,0.96429,0.90358,0.83224,0.88868,0.7524,0.64085,0.53578,1.14045,0.0001009,0.0001009,0.0001009
38,12454,0.35318,0.24062,0.95408,0.89512,0.84606,0.88861,0.75298,0.63952,0.53012,1.1375,7.5925e-05,7.5925e-05,7.5925e-05
39,12773.8,0.34595,0.23657,0.95392,0.91145,0.83624,0.88923,0.75381,0.64055,0.53368,1.13673,5.095e-05,5.095e-05,5.095e-05
40,13093,0.3443,0.23108,0.95177,0.91128,0.83487,0.89183,0.75803,0.63835,0.52827,1.13827,2.5975e-05,2.5975e-05,2.5975e-05
